	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_04_WF_RNA_GV_totalRNA_Mll3KO_W5_rep1	220823_05_WF_RNA_GV_totalRNA_Mll3KO_W5_rep2	220823_06_WF_RNA_GV_totalRNA_Mll3KO_W5_rep3
ENSMUSG00000000296.8	30	4	30	18	18	12
ENSMUSG00000000301.16	23	10	20	29	20	28
ENSMUSG00000000303.12	3755	3416	7017	3619	3178	3584
ENSMUSG00000000305.12	210	176	313	234	214	207
ENSMUSG00000000308.14	0	0	0	0	2	0
ENSMUSG00000000317.11	2	1	2	6	9	3
ENSMUSG00000000318.16	153	99	263	102	97	69
ENSMUSG00000000320.10	50	52	72	50	60	67
ENSMUSG00000000325.16	120	104	214	121	130	109
ENSMUSG00000000326.13	18	7	12	5	11	6
ENSMUSG00000000339.14	89	72	149	115	119	103
ENSMUSG00000000340.10	80	72	153	59	82	60
ENSMUSG00000000346.9	595	355	603	650	583	707
ENSMUSG00000000359.3	0	0	0	0	0	0
ENSMUSG00000000365.9	1567	1235	2487	1267	1467	1609
ENSMUSG00000000374.8	781	631	1105	867	788	820
ENSMUSG00000000378.15	103	78	146	108	101	100
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	85	79	112	89	77	66
ENSMUSG00000000385.8	1	0	3	1	1	3
ENSMUSG00000000386.15	6	8	18	4	3	3
ENSMUSG00000000392.17	1	0	3	0	0	0
ENSMUSG00000000394.15	0	0	0	0	0	0
ENSMUSG00000000399.10	360	324	587	494	395	452
ENSMUSG00000000409.14	1	0	1	1	0	0
ENSMUSG00000000411.7	0	0	0	0	0	0
ENSMUSG00000000416.16	89	86	177	47	59	44
ENSMUSG00000000420.15	692	438	924	701	745	913
ENSMUSG00000000435.1	0	0	0	0	0	0
ENSMUSG00000000439.9	674	493	881	644	616	653
ENSMUSG00000000440.12	233	248	442	191	187	249
ENSMUSG00000000441.17	1937	1699	3043	1939	1766	1794
ENSMUSG00000000486.13	9	6	20	9	7	9
ENSMUSG00000000489.7	91	45	89	181	138	135
ENSMUSG00000000530.16	2	4	1	0	2	2
ENSMUSG00000000531.5	81	25	80	115	79	95
ENSMUSG00000000532.11	902	652	1310	1344	1137	1155
ENSMUSG00000000538.18	1002	740	1455	1045	905	988
ENSMUSG00000000544.14	55	31	68	93	66	62
ENSMUSG00000000552.10	261	171	320	333	341	400
ENSMUSG00000000555.8	10	7	20	17	17	13
ENSMUSG00000000560.9	0	0	0	0	0	3
ENSMUSG00000000561.14	7	0	10	1	3	8
ENSMUSG00000000562.5	0	1	1	2	0	0
ENSMUSG00000000563.17	381	279	615	324	319	441
ENSMUSG00000000567.5	0	1	1	0	0	0
ENSMUSG00000000568.15	962	1019	2249	935	984	1152
ENSMUSG00000000579.14	5	3	2	3	4	8
ENSMUSG00000000581.8	27	21	33	18	24	20
ENSMUSG00000000594.7	20	8	9	21	9	17
ENSMUSG00000000600.15	149	107	233	140	122	165
ENSMUSG00000000605.9	22	19	59	34	42	42
ENSMUSG00000000606.17	0	0	0	0	0	0
ENSMUSG00000000617.14	0	0	0	0	1	0
ENSMUSG00000000627.15	3	3	4	6	7	7
ENSMUSG00000000628.10	44	30	64	15	28	26
ENSMUSG00000000631.20	1661	1633	3328	1446	1460	1402
ENSMUSG00000000632.13	8	5	13	0	5	5
ENSMUSG00000000673.8	0	0	0	0	1	0
ENSMUSG00000000682.7	0	0	0	0	0	0
ENSMUSG00000000686.11	2	0	4	2	6	2
ENSMUSG00000000690.5	1	0	2	0	0	0
ENSMUSG00000000693.10	0	0	0	1	1	1
ENSMUSG00000000701.8	166	117	126	130	120	142
ENSMUSG00000000706.16	3	2	2	2	1	1
ENSMUSG00000000708.14	6	5	12	2	6	6
ENSMUSG00000000711.3	220	168	343	233	220	255
ENSMUSG00000000724.10	0	1	2	0	0	0
ENSMUSG00000000730.13	776	602	1305	935	860	770
ENSMUSG00000000731.15	67	50	115	65	66	59
ENSMUSG00000000732.9	1093	783	1360	1025	984	1066
ENSMUSG00000000738.18	83	52	100	94	92	111
ENSMUSG00000000739.14	36	25	31	56	45	53
ENSMUSG00000000740.12	396	311	533	407	376	404
ENSMUSG00000000743.9	150	105	202	179	126	145
ENSMUSG00000000751.13	1818	1621	3118	1707	1475	1645
ENSMUSG00000000753.15	8	1	4	5	3	3
ENSMUSG00000000759.14	75	44	127	74	54	97
ENSMUSG00000000766.18	8	7	7	4	4	3
ENSMUSG00000000776.13	129	136	328	130	150	151
ENSMUSG00000000782.15	585	462	1049	870	729	869
ENSMUSG00000000791.9	2	0	1	3	1	2
ENSMUSG00000000792.2	9	3	5	17	9	10
ENSMUSG00000000794.9	13	7	20	10	9	7
ENSMUSG00000000804.14	703	523	1119	558	586	652
ENSMUSG00000000805.18	1	1	4	2	0	2
ENSMUSG00000000811.13	594	550	1097	548	593	628
ENSMUSG00000000817.10	0	0	0	0	0	1
ENSMUSG00000000823.16	777	520	1134	953	994	1041
ENSMUSG00000000826.16	400	243	456	405	355	339
ENSMUSG00000000827.18	1009	880	1644	1020	1013	1181
ENSMUSG00000000861.15	14	11	14	12	17	20
ENSMUSG00000000869.12	0	0	0	0	0	0
ENSMUSG00000000876.11	37	27	29	61	52	51
ENSMUSG00000000884.17	50	48	103	63	56	56
ENSMUSG00000000889.8	31	10	14	27	28	24
ENSMUSG00000000901.17	4	2	1	11	4	13
ENSMUSG00000000902.13	600	537	1033	639	553	616
ENSMUSG00000000903.3	0	0	0	0	0	0
ENSMUSG00000000915.15	1525	1282	2790	1642	1550	1600
ENSMUSG00000000916.15	41	30	55	28	34	35
ENSMUSG00000000934.9	22	5	12	4	9	7
ENSMUSG00000000938.11	3	1	4	1	5	3
ENSMUSG00000000942.10	0	0	3	1	1	0
ENSMUSG00000000948.16	16	10	22	10	18	10
ENSMUSG00000000957.11	17	0	3	3	13	12
ENSMUSG00000000958.10	17	8	18	14	13	9
ENSMUSG00000000959.7	187	113	189	188	137	175
ENSMUSG00000000976.13	683	473	969	827	803	810
ENSMUSG00000000982.5	3	2	4	2	3	5
ENSMUSG00000000983.13	0	0	0	1	0	0
ENSMUSG00000001014.6	2	3	1	0	2	4
ENSMUSG00000001016.12	258	267	451	318	275	301
ENSMUSG00000001017.15	332	220	461	328	311	406
ENSMUSG00000001018.15	121	78	142	143	102	125
ENSMUSG00000001020.8	0	0	0	0	0	0
ENSMUSG00000001021.12	0	0	0	0	0	0
ENSMUSG00000001023.10	0	0	0	0	0	0
ENSMUSG00000001025.8	1	1	0	2	1	2
ENSMUSG00000001027.7	1	0	3	0	1	1
ENSMUSG00000001029.15	0	0	2	1	1	0
ENSMUSG00000001034.17	57	41	70	88	82	88
ENSMUSG00000001036.17	4156	3350	5770	4637	3993	4113
ENSMUSG00000001039.12	126	82	119	108	92	113
ENSMUSG00000001052.15	779	526	1008	869	804	859
ENSMUSG00000001053.15	2	1	1	0	2	1
ENSMUSG00000001054.9	66	34	76	92	68	67
ENSMUSG00000001056.3	241	179	364	252	236	298
ENSMUSG00000001062.18	408	301	682	515	506	494
ENSMUSG00000001065.15	222	189	360	226	233	191
ENSMUSG00000001076.7	0	0	1	0	0	0
ENSMUSG00000001082.12	95	46	83	105	77	92
ENSMUSG00000001089.14	2594	2124	4755	3130	3148	3294
ENSMUSG00000001095.5	0	0	0	0	0	0
ENSMUSG00000001098.15	829	656	1336	696	638	642
ENSMUSG00000001100.10	125	92	194	148	126	155
ENSMUSG00000001103.7	895	664	1043	1112	1215	1443
ENSMUSG00000001105.15	111	97	185	101	84	101
ENSMUSG00000001119.7	3	1	1	4	3	17
ENSMUSG00000001120.15	376	273	580	496	479	525
ENSMUSG00000001123.15	9	12	16	3	6	13
ENSMUSG00000001138.13	32	23	47	34	40	27
ENSMUSG00000001143.13	191	167	306	168	156	120
ENSMUSG00000001150.7	2987	2435	4675	3377	2923	2870
ENSMUSG00000001151.10	8254	8355	17376	7837	7377	7764
ENSMUSG00000001155.13	0	0	0	0	0	0
ENSMUSG00000001156.9	2104	1723	3108	2311	2036	2079
ENSMUSG00000001157.13	824	599	1143	838	851	870
ENSMUSG00000001158.13	1066	913	1957	1067	1128	1333
ENSMUSG00000001166.17	4810	3601	6250	5248	4605	4762
ENSMUSG00000001168.16	2654	1771	3269	2413	2319	2419
ENSMUSG00000001175.14	3876	3264	6898	4313	4474	4829
ENSMUSG00000001211.15	155	129	258	184	180	156
ENSMUSG00000001225.12	0	0	0	0	0	0
ENSMUSG00000001227.12	8	6	3	7	11	11
ENSMUSG00000001228.14	8303	7009	14222	8538	8064	9417
ENSMUSG00000001229.9	134	96	193	124	128	127
ENSMUSG00000001240.13	4	13	17	1	7	6
ENSMUSG00000001247.16	332	287	534	333	400	421
ENSMUSG00000001248.15	8	1	7	0	4	3
ENSMUSG00000001249.14	0	0	0	1	0	0
ENSMUSG00000001260.10	0	0	1	0	3	0
ENSMUSG00000001270.9	1013	769	1503	1817	1549	1486
ENSMUSG00000001280.13	794	644	1481	984	878	911
ENSMUSG00000001281.10	0	0	2	0	0	0
ENSMUSG00000001285.12	57	32	76	68	72	74
ENSMUSG00000001288.15	10	12	32	45	33	42
ENSMUSG00000001289.12	483	392	787	537	434	425
ENSMUSG00000001300.16	1055	916	1800	778	679	725
ENSMUSG00000001305.5	167	132	303	123	120	106
ENSMUSG00000001313.12	4	0	0	4	8	10
ENSMUSG00000001323.17	42	31	35	34	22	29
ENSMUSG00000001333.9	0	0	3	0	0	0
ENSMUSG00000001334.9	6	2	2	11	2	10
ENSMUSG00000001348.15	33	27	35	46	37	48
ENSMUSG00000001349.5	226	193	302	211	235	281
ENSMUSG00000001366.14	176	124	218	159	172	184
ENSMUSG00000001376.17	1086	860	1753	976	1155	1274
ENSMUSG00000001380.6	129	112	211	136	119	136
ENSMUSG00000001383.8	656	700	1617	802	864	884
ENSMUSG00000001403.13	426	351	596	555	498	427
ENSMUSG00000001415.10	142	90	226	140	140	124
ENSMUSG00000001416.13	1330	1148	2076	1235	1224	1280
ENSMUSG00000001418.13	18	8	20	19	19	28
ENSMUSG00000001419.17	224	231	428	260	243	308
ENSMUSG00000001420.13	7	5	11	11	7	13
ENSMUSG00000001424.14	455	463	832	392	382	365
ENSMUSG00000001435.15	26	10	17	15	25	8
ENSMUSG00000001436.15	66	49	77	111	80	79
ENSMUSG00000001440.5	2841	2415	4978	3055	3024	3074
ENSMUSG00000001441.13	84	73	152	69	95	77
ENSMUSG00000001444.2	0	0	0	0	0	0
ENSMUSG00000001445.10	303	231	318	372	366	366
ENSMUSG00000001467.5	43	37	100	35	29	29
ENSMUSG00000001472.17	1347	1051	1870	1413	1304	1354
ENSMUSG00000001473.6	2544	1895	3347	2443	2283	2218
ENSMUSG00000001482.15	93	73	135	83	58	59
ENSMUSG00000001493.9	0	4	7	1	1	0
ENSMUSG00000001494.6	112	79	98	174	135	162
ENSMUSG00000001496.15	0	0	0	0	0	0
ENSMUSG00000001497.18	7	1	0	2	2	1
ENSMUSG00000001504.10	1	0	0	2	1	0
ENSMUSG00000001506.10	7	0	4	2	0	5
ENSMUSG00000001507.16	6	2	3	5	9	1
ENSMUSG00000001508.15	3	2	8	8	7	2
ENSMUSG00000001510.8	0	0	0	0	0	0
ENSMUSG00000001517.14	1463	1119	2243	1769	1545	1585
ENSMUSG00000001518.12	41	23	65	49	42	46
ENSMUSG00000001520.12	2	3	0	0	1	0
ENSMUSG00000001521.12	920	742	1356	834	721	709
ENSMUSG00000001524.14	39	32	46	36	51	46
ENSMUSG00000001525.10	1279	945	1720	1039	966	1012
ENSMUSG00000001542.7	254	182	380	188	190	186
ENSMUSG00000001552.14	234	123	239	340	298	257
ENSMUSG00000001555.10	19	6	8	8	13	17
ENSMUSG00000001558.5	0	0	0	1	0	0
ENSMUSG00000001566.9	0	0	0	0	0	0
ENSMUSG00000001569.10	238	205	448	296	294	337
ENSMUSG00000001576.14	243	135	224	284	228	231
ENSMUSG00000001583.13	0	0	1	0	0	0
ENSMUSG00000001588.12	2	5	4	1	3	5
ENSMUSG00000001604.14	712	562	1155	1026	947	1072
ENSMUSG00000001622.15	0	0	0	0	0	0
ENSMUSG00000001627.12	644	469	946	658	568	790
ENSMUSG00000001630.13	483	310	632	571	636	620
ENSMUSG00000001632.16	185	144	332	191	171	169
ENSMUSG00000001642.18	1439	1136	2038	1613	1479	1485
ENSMUSG00000001655.6	0	2	1	3	1	0
ENSMUSG00000001656.3	0	0	0	0	0	0
ENSMUSG00000001657.7	4	1	0	0	1	3
ENSMUSG00000001661.5	1	0	1	1	1	5
ENSMUSG00000001663.10	1	0	1	0	0	0
ENSMUSG00000001665.11	2	3	7	3	1	1
ENSMUSG00000001666.8	57	20	39	46	70	42
ENSMUSG00000001670.13	0	1	2	0	0	0
ENSMUSG00000001672.14	7	6	4	1	4	6
ENSMUSG00000001674.11	775	606	1138	737	801	884
ENSMUSG00000001687.15	1159	1043	1982	1147	1205	1335
ENSMUSG00000001700.9	3	1	3	3	0	3
ENSMUSG00000001707.8	363	277	534	366	343	490
ENSMUSG00000001729.14	641	536	1028	799	719	801
ENSMUSG00000001739.14	121	57	92	194	163	164
ENSMUSG00000001741.12	1	0	0	0	0	0
ENSMUSG00000001750.15	2	2	4	0	3	1
ENSMUSG00000001751.9	31	14	19	53	34	39
ENSMUSG00000001755.12	154	117	242	298	204	204
ENSMUSG00000001761.7	20	5	15	26	11	15
ENSMUSG00000001763.14	521	349	683	454	414	501
ENSMUSG00000001767.5	6893	6206	12766	7041	7278	7903
ENSMUSG00000001768.16	131	86	157	80	72	85
ENSMUSG00000001773.14	2	0	3	0	0	0
ENSMUSG00000001774.8	420	313	670	327	419	523
ENSMUSG00000001783.3	603	514	1107	596	614	651
ENSMUSG00000001785.13	72	47	69	38	58	63
ENSMUSG00000001786.14	276	221	446	272	228	279
ENSMUSG00000001794.13	188	119	275	164	164	176
ENSMUSG00000001802.16	0	1	3	5	1	0
ENSMUSG00000001804.9	1	0	0	0	0	0
ENSMUSG00000001815.15	3	0	1	3	0	0
ENSMUSG00000001819.4	8	16	24	2	5	4
ENSMUSG00000001823.5	6	2	2	0	0	0
ENSMUSG00000001827.12	1	0	0	1	2	0
ENSMUSG00000001829.17	611	543	1029	604	582	567
ENSMUSG00000001833.17	1300	1074	2308	1146	1408	1640
ENSMUSG00000001844.10	29	26	46	38	28	44
ENSMUSG00000001847.14	1406	1018	1815	1557	1425	1592
ENSMUSG00000001855.15	6188	4574	7815	7474	6528	6920
ENSMUSG00000001864.13	6	6	11	11	8	13
ENSMUSG00000001865.2	0	0	0	0	0	0
ENSMUSG00000001870.15	9	4	4	10	22	21
ENSMUSG00000001891.16	101	88	147	62	39	41
ENSMUSG00000001901.15	1	1	0	0	0	0
ENSMUSG00000001909.16	187	136	269	212	162	174
ENSMUSG00000001910.4	933	832	1779	1131	1060	1044
ENSMUSG00000001911.16	116	51	148	84	61	80
ENSMUSG00000001918.17	4	1	4	7	5	1
ENSMUSG00000001930.17	7	4	13	12	11	10
ENSMUSG00000001942.8	194	151	288	158	179	152
ENSMUSG00000001943.8	0	0	0	0	0	0
ENSMUSG00000001946.14	0	0	1	0	3	0
ENSMUSG00000001948.10	135	95	215	103	130	175
ENSMUSG00000001983.7	25	21	43	30	37	25
ENSMUSG00000001985.9	5	0	6	2	9	4
ENSMUSG00000001988.9	0	0	1	1	0	0
ENSMUSG00000001995.9	1161	883	1779	1211	1046	1094
ENSMUSG00000001998.15	205	186	350	174	212	208
ENSMUSG00000001999.15	187	85	177	127	101	120
ENSMUSG00000002017.9	519	400	861	497	511	551
ENSMUSG00000002020.15	79	73	112	122	84	113
ENSMUSG00000002028.13	52	187	389	43	51	40
ENSMUSG00000002031.12	693	609	1157	725	822	854
ENSMUSG00000002032.17	2	0	1	0	2	1
ENSMUSG00000002033.14	0	0	0	1	0	0
ENSMUSG00000002043.17	22	13	25	12	17	14
ENSMUSG00000002052.6	3217	3001	6853	2972	2892	3060
ENSMUSG00000002055.9	617	518	1055	800	747	746
ENSMUSG00000002057.4	3	1	1	3	0	2
ENSMUSG00000002058.13	16	10	30	10	4	3
ENSMUSG00000002059.18	1	0	1	0	4	1
ENSMUSG00000002064.10	248	220	344	277	271	265
ENSMUSG00000002068.16	84	51	112	109	87	128
ENSMUSG00000002076.11	439	345	715	445	407	422
ENSMUSG00000002083.13	0	0	0	0	1	0
ENSMUSG00000002100.15	5	4	11	1	5	5
ENSMUSG00000002102.15	723	624	1232	827	712	723
ENSMUSG00000002103.15	22	22	34	28	24	28
ENSMUSG00000002104.11	16	22	31	18	21	10
ENSMUSG00000002105.15	11	12	11	6	11	13
ENSMUSG00000002107.18	1099	952	1686	984	1014	1141
ENSMUSG00000002108.10	8	6	7	7	6	7
ENSMUSG00000002109.14	300	207	385	292	270	284
ENSMUSG00000002111.8	2	0	2	3	0	0
ENSMUSG00000002129.11	2656	2251	4763	2669	2422	2751
ENSMUSG00000002147.18	366	267	466	562	497	516
ENSMUSG00000002190.13	24	17	42	59	61	82
ENSMUSG00000002204.9	1	1	1	10	12	9
ENSMUSG00000002205.16	32	25	35	37	23	30
ENSMUSG00000002210.11	96	73	135	69	88	112
ENSMUSG00000002221.11	456	408	735	414	403	394
ENSMUSG00000002222.14	2220	1595	3135	2721	2457	2852
ENSMUSG00000002227.15	124	66	94	81	78	88
ENSMUSG00000002228.7	1	2	3	2	4	5
ENSMUSG00000002233.13	4	0	6	2	2	0
ENSMUSG00000002240.12	0	1	0	0	0	0
ENSMUSG00000002249.21	57	38	85	101	45	62
ENSMUSG00000002250.16	285	223	412	353	269	291
ENSMUSG00000002257.8	174	185	440	275	227	279
ENSMUSG00000002265.16	327	400	900	328	376	360
ENSMUSG00000002266.17	40	24	46	60	72	62
ENSMUSG00000002274.12	0	0	0	0	4	0
ENSMUSG00000002279.18	26	13	48	55	37	46
ENSMUSG00000002280.10	29	16	24	29	31	29
ENSMUSG00000002289.15	3	0	2	0	6	5
ENSMUSG00000002297.16	3129	2272	5621	2514	2556	3084
ENSMUSG00000002307.15	516	393	745	718	718	616
ENSMUSG00000002308.15	131	90	159	163	158	112
ENSMUSG00000002319.16	50	48	85	42	32	37
ENSMUSG00000002320.15	42	24	50	36	42	25
ENSMUSG00000002324.8	1	0	0	3	2	0
ENSMUSG00000002325.15	3	1	3	3	3	6
ENSMUSG00000002326.6	8	6	10	6	4	13
ENSMUSG00000002329.7	17	9	24	23	10	12
ENSMUSG00000002332.16	259	216	444	266	259	311
ENSMUSG00000002341.8	1	0	1	3	0	2
ENSMUSG00000002342.17	15	10	17	13	17	8
ENSMUSG00000002343.11	10	1	11	10	4	10
ENSMUSG00000002345.18	62	57	68	53	42	43
ENSMUSG00000002346.16	17	5	6	4	8	9
ENSMUSG00000002365.10	3601	3301	6500	3715	3768	4313
ENSMUSG00000002372.9	1139	966	1892	1349	1103	1119
ENSMUSG00000002379.7	283	174	258	264	248	239
ENSMUSG00000002384.2	2	0	2	3	2	2
ENSMUSG00000002393.14	8	5	7	21	14	14
ENSMUSG00000002395.14	305	236	422	406	433	448
ENSMUSG00000002396.8	2	5	6	13	11	7
ENSMUSG00000002409.18	104	94	134	167	121	128
ENSMUSG00000002413.15	167	165	308	147	143	159
ENSMUSG00000002416.13	50	41	75	52	64	62
ENSMUSG00000002428.12	324	269	570	294	415	391
ENSMUSG00000002455.14	1910	1805	3595	2288	2264	2253
ENSMUSG00000002458.13	107	69	136	72	60	66
ENSMUSG00000002459.17	0	0	0	0	0	0
ENSMUSG00000002475.15	142	129	153	174	209	204
ENSMUSG00000002477.4	770	715	1544	751	828	947
ENSMUSG00000002486.15	140	112	240	107	107	97
ENSMUSG00000002489.16	10733	8750	16631	10251	8844	9440
ENSMUSG00000002496.10	195	178	301	185	156	203
ENSMUSG00000002500.15	0	0	0	0	0	0
ENSMUSG00000002504.14	31	11	34	30	29	15
ENSMUSG00000002524.17	1021	908	1815	1109	995	984
ENSMUSG00000002546.16	1880	1834	4084	2212	1961	2033
ENSMUSG00000002550.16	15	8	10	9	13	5
ENSMUSG00000002565.16	355	337	775	72	66	72
ENSMUSG00000002578.17	417	408	740	337	351	415
ENSMUSG00000002580.7	38	23	43	31	30	39
ENSMUSG00000002588.13	2	0	0	0	0	0
ENSMUSG00000002602.16	18	4	10	12	20	14
ENSMUSG00000002603.15	5	1	0	2	1	0
ENSMUSG00000002608.8	301	275	560	410	353	409
ENSMUSG00000002617.14	84	76	169	100	129	96
ENSMUSG00000002625.9	202	160	428	198	182	185
ENSMUSG00000002633.4	7	3	4	17	14	30
ENSMUSG00000002635.11	659	503	957	723	701	667
ENSMUSG00000002658.9	833	764	1684	954	931	982
ENSMUSG00000002660.8	49	23	54	54	54	54
ENSMUSG00000002661.14	108	80	118	117	95	96
ENSMUSG00000002664.2	0	0	0	0	0	1
ENSMUSG00000002668.8	1	0	6	3	1	5
ENSMUSG00000002679.14	616	379	799	559	622	611
ENSMUSG00000002688.8	792	661	1439	794	744	823
ENSMUSG00000002699.13	70	64	101	53	27	52
ENSMUSG00000002718.14	496	371	772	416	411	483
ENSMUSG00000002728.14	276	232	357	220	237	296
ENSMUSG00000002731.6	17	10	12	5	4	6
ENSMUSG00000002732.14	4	1	4	2	0	3
ENSMUSG00000002733.8	894	749	1496	842	843	995
ENSMUSG00000002741.9	102	80	166	148	124	134
ENSMUSG00000002748.7	3771	3422	7684	4114	4151	4285
ENSMUSG00000002763.16	45	15	65	64	63	49
ENSMUSG00000002767.13	179	160	246	242	208	210
ENSMUSG00000002768.8	1584	1124	2401	1417	1279	1760
ENSMUSG00000002769.9	12	9	16	26	24	14
ENSMUSG00000002771.12	4	4	8	5	9	7
ENSMUSG00000002778.14	180	88	162	247	218	214
ENSMUSG00000002781.19	147	61	103	159	157	146
ENSMUSG00000002791.16	1	0	0	2	0	0
ENSMUSG00000002797.9	759	802	1828	824	905	1105
ENSMUSG00000002799.6	1607	1328	2607	2177	1788	1913
ENSMUSG00000002803.14	2	0	1	2	1	0
ENSMUSG00000002804.4	88	65	82	108	89	64
ENSMUSG00000002808.7	5	0	5	0	3	2
ENSMUSG00000002812.4	932	841	1705	1020	895	967
ENSMUSG00000002814.15	904	697	1256	927	962	888
ENSMUSG00000002820.6	1	1	0	1	2	1
ENSMUSG00000002825.8	44	36	78	24	22	24
ENSMUSG00000002831.13	1	0	0	0	1	2
ENSMUSG00000002833.11	407	367	659	495	460	377
ENSMUSG00000002835.9	3514	3640	7492	4076	3864	3785
ENSMUSG00000002844.9	266	213	451	325	269	239
ENSMUSG00000002845.14	360	238	414	365	316	409
ENSMUSG00000002846.9	114	101	148	89	103	111
ENSMUSG00000002847.7	50	18	47	56	52	69
ENSMUSG00000002870.8	1142	859	1695	1349	1139	1192
ENSMUSG00000002871.14	886	548	915	1015	854	788
ENSMUSG00000002881.14	525	468	978	424	534	643
ENSMUSG00000002885.14	3	0	2	0	1	2
ENSMUSG00000002897.5	269	203	431	403	308	302
ENSMUSG00000002900.16	16085	13111	26880	19744	18126	18979
ENSMUSG00000002908.17	8	5	10	14	15	15
ENSMUSG00000002910.11	714	586	1256	852	795	856
ENSMUSG00000002930.6	0	0	0	0	0	0
ENSMUSG00000002944.15	375	306	709	184	260	240
ENSMUSG00000002948.19	222	107	215	131	175	206
ENSMUSG00000002949.15	499	400	842	458	480	484
ENSMUSG00000002957.11	139	90	187	139	135	140
ENSMUSG00000002963.17	35	34	54	26	35	16
ENSMUSG00000002968.9	658	481	738	800	624	690
ENSMUSG00000002980.14	2	0	2	1	0	1
ENSMUSG00000002981.10	1072	842	1651	1155	1002	1104
ENSMUSG00000002983.17	47	46	82	68	48	39
ENSMUSG00000002984.17	194	140	285	200	193	221
ENSMUSG00000002985.16	60	45	97	92	102	85
ENSMUSG00000002992.17	0	0	0	0	0	0
ENSMUSG00000002996.17	507	362	686	413	399	451
ENSMUSG00000002997.15	380	309	452	367	402	483
ENSMUSG00000003031.14	256	224	388	257	255	252
ENSMUSG00000003032.8	149	95	198	240	248	281
ENSMUSG00000003033.15	875	621	1252	797	790	932
ENSMUSG00000003037.16	375	368	728	348	324	374
ENSMUSG00000003038.15	343	302	628	251	180	263
ENSMUSG00000003039.9	419	306	607	358	284	369
ENSMUSG00000003051.13	300	265	435	477	393	362
ENSMUSG00000003053.17	26	26	57	12	18	22
ENSMUSG00000003062.13	319	214	372	336	296	323
ENSMUSG00000003068.16	545	474	969	706	713	711
ENSMUSG00000003070.6	73	49	137	84	85	112
ENSMUSG00000003072.15	70	42	86	69	37	44
ENSMUSG00000003099.11	111	80	193	154	141	133
ENSMUSG00000003119.14	3078	2159	4402	2882	2872	3308
ENSMUSG00000003123.15	88	74	125	97	76	81
ENSMUSG00000003131.7	216	196	443	251	236	279
ENSMUSG00000003134.10	2613	2114	4041	2774	2524	2534
