	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_10_WF_RNA_GV_totalRNA_Mll34KO_W5_rep1	220823_11_WF_RNA_GV_totalRNA_Mll34KO_W5_rep2	220823_12_WF_RNA_GV_totalRNA_Mll34KO_W5_rep3
ENSMUSG00000000384.15	85	79	112	112	98	80
ENSMUSG00000000385.8	1	0	3	0	0	0
ENSMUSG00000000386.15	6	8	18	3	5	7
ENSMUSG00000000392.17	1	0	3	8	3	4
ENSMUSG00000000394.15	0	0	0	0	0	0
ENSMUSG00000000399.10	360	324	587	488	429	318
ENSMUSG00000000409.14	1	0	1	0	0	0
ENSMUSG00000000411.7	0	0	0	0	1	0
ENSMUSG00000000416.16	89	86	177	318	288	331
ENSMUSG00000000420.15	692	438	924	741	599	553
ENSMUSG00000000435.1	0	0	0	1	0	0
ENSMUSG00000000439.9	674	493	881	793	732	616
ENSMUSG00000000440.12	233	248	442	243	168	192
ENSMUSG00000000441.17	1937	1699	3043	2845	2526	2153
ENSMUSG00000000486.13	9	6	20	21	10	21
ENSMUSG00000000489.7	91	45	89	207	166	123
ENSMUSG00000000530.16	2	4	1	6	3	4
ENSMUSG00000000531.5	81	25	80	57	42	44
ENSMUSG00000000532.11	902	652	1310	1752	1600	1118
ENSMUSG00000000538.18	1002	740	1455	845	730	575
ENSMUSG00000000544.14	55	31	68	61	44	43
ENSMUSG00000000552.10	261	171	320	253	274	237
ENSMUSG00000000555.8	10	7	20	30	37	24
ENSMUSG00000000560.9	0	0	0	3	0	1
ENSMUSG00000000561.14	7	0	10	5	9	4
ENSMUSG00000000562.5	0	1	1	1	0	1
ENSMUSG00000000563.17	381	279	615	429	415	328
ENSMUSG00000000567.5	0	1	1	2	1	3
ENSMUSG00000000568.15	962	1019	2249	1595	1318	1041
ENSMUSG00000000579.14	5	3	2	7	6	2
ENSMUSG00000000581.8	27	21	33	34	29	18
ENSMUSG00000000594.7	20	8	9	20	16	14
ENSMUSG00000000600.15	149	107	233	159	182	126
ENSMUSG00000000605.9	22	19	59	74	64	46
ENSMUSG00000000606.17	0	0	0	0	0	0
ENSMUSG00000000617.14	0	0	0	0	0	0
ENSMUSG00000000627.15	3	3	4	13	9	11
ENSMUSG00000000628.10	44	30	64	43	39	29
ENSMUSG00000000631.20	1661	1633	3328	1647	1217	1251
ENSMUSG00000000632.13	8	5	13	2	3	3
ENSMUSG00000000673.8	0	0	0	0	0	1
ENSMUSG00000000682.7	0	0	0	0	0	0
ENSMUSG00000000686.11	2	0	4	4	8	1
ENSMUSG00000000690.5	1	0	2	2	0	0
ENSMUSG00000000693.10	0	0	0	1	0	0
ENSMUSG00000000701.8	166	117	126	153	125	132
ENSMUSG00000000706.16	3	2	2	11	5	5
ENSMUSG00000000708.14	6	5	12	4	6	5
ENSMUSG00000000711.3	220	168	343	366	332	219
ENSMUSG00000000724.10	0	1	2	0	0	0
ENSMUSG00000000730.13	776	602	1305	1192	995	883
ENSMUSG00000000731.15	67	50	115	87	62	54
ENSMUSG00000000732.9	1093	783	1360	997	882	773
ENSMUSG00000000738.18	83	52	100	95	90	73
ENSMUSG00000000739.14	36	25	31	35	30	27
ENSMUSG00000000740.12	396	311	533	535	411	372
ENSMUSG00000000743.9	150	105	202	154	148	140
ENSMUSG00000000751.13	1818	1621	3118	2698	2141	1812
ENSMUSG00000000753.15	8	1	4	4	1	3
ENSMUSG00000000759.14	75	44	127	86	71	74
ENSMUSG00000000766.18	8	7	7	4	3	7
ENSMUSG00000000776.13	129	136	328	274	217	146
ENSMUSG00000000782.15	585	462	1049	810	764	610
ENSMUSG00000000791.9	2	0	1	0	1	1
ENSMUSG00000000792.2	9	3	5	11	7	9
ENSMUSG00000000794.9	13	7	20	6	3	2
ENSMUSG00000000804.14	703	523	1119	693	544	496
ENSMUSG00000000805.18	1	1	4	1	1	0
ENSMUSG00000000811.13	594	550	1097	614	475	446
ENSMUSG00000000817.10	0	0	0	0	0	0
ENSMUSG00000000823.16	777	520	1134	1237	1162	849
ENSMUSG00000000826.16	400	243	456	457	423	297
ENSMUSG00000000827.18	1009	880	1644	1226	1136	944
ENSMUSG00000000861.15	14	11	14	20	10	15
ENSMUSG00000000869.12	0	0	0	0	0	0
ENSMUSG00000000876.11	37	27	29	64	73	45
ENSMUSG00000000884.17	50	48	103	86	67	63
ENSMUSG00000000889.8	31	10	14	12	5	15
ENSMUSG00000000901.17	4	2	1	10	3	5
ENSMUSG00000000902.13	600	537	1033	778	676	524
ENSMUSG00000000903.3	0	0	0	1	0	0
ENSMUSG00000000915.15	1525	1282	2790	2008	1673	1358
ENSMUSG00000000916.15	41	30	55	44	41	38
ENSMUSG00000000934.9	22	5	12	11	13	18
ENSMUSG00000000938.11	3	1	4	6	10	5
ENSMUSG00000000942.10	0	0	3	0	0	0
ENSMUSG00000000948.16	16	10	22	6	16	6
ENSMUSG00000000957.11	17	0	3	13	3	7
ENSMUSG00000000958.10	17	8	18	16	18	10
ENSMUSG00000000959.7	187	113	189	210	221	142
ENSMUSG00000000976.13	683	473	969	1211	990	914
ENSMUSG00000000982.5	3	2	4	1	2	1
ENSMUSG00000000983.13	0	0	0	0	0	0
ENSMUSG00000001014.6	2	3	1	2	1	4
ENSMUSG00000001016.12	258	267	451	466	369	284
ENSMUSG00000001017.15	332	220	461	339	337	250
ENSMUSG00000001018.15	121	78	142	166	132	105
ENSMUSG00000001020.8	0	0	0	0	0	0
ENSMUSG00000001021.12	0	0	0	0	1	1
ENSMUSG00000001023.10	0	0	0	0	0	0
ENSMUSG00000001025.8	1	1	0	1	0	0
ENSMUSG00000001027.7	1	0	3	0	2	0
ENSMUSG00000001029.15	0	0	2	0	0	0
ENSMUSG00000001034.17	57	41	70	115	112	86
ENSMUSG00000001036.17	4156	3350	5770	5649	4715	4248
ENSMUSG00000001039.12	126	82	119	159	152	125
ENSMUSG00000001052.15	779	526	1008	866	791	619
ENSMUSG00000001053.15	2	1	1	1	2	1
ENSMUSG00000001054.9	66	34	76	71	93	73
ENSMUSG00000001056.3	241	179	364	343	325	243
ENSMUSG00000001062.18	408	301	682	632	567	423
ENSMUSG00000001065.15	222	189	360	250	215	207
ENSMUSG00000001076.7	0	0	1	1	0	0
ENSMUSG00000001082.12	95	46	83	84	102	79
ENSMUSG00000001089.14	2594	2124	4755	3776	2896	2202
ENSMUSG00000001095.5	0	0	0	0	0	0
ENSMUSG00000001098.15	829	656	1336	781	640	556
ENSMUSG00000001100.10	125	92	194	168	159	123
ENSMUSG00000001103.7	895	664	1043	796	543	818
ENSMUSG00000001105.15	111	97	185	170	161	124
ENSMUSG00000001119.7	3	1	1	1	2	3
ENSMUSG00000001120.15	376	273	580	834	669	599
ENSMUSG00000001123.15	9	12	16	14	12	8
ENSMUSG00000001138.13	32	23	47	49	73	40
ENSMUSG00000001143.13	191	167	306	177	143	134
ENSMUSG00000001150.7	2987	2435	4675	4687	4038	3236
ENSMUSG00000001151.10	8254	8355	17376	7700	6947	4893
ENSMUSG00000001155.13	0	0	0	1	0	0
ENSMUSG00000001156.9	2104	1723	3108	2211	2055	1739
ENSMUSG00000001157.13	824	599	1143	1005	821	764
ENSMUSG00000001158.13	1066	913	1957	1348	1163	966
ENSMUSG00000001166.17	4810	3601	6250	6764	5929	5168
ENSMUSG00000001168.16	2654	1771	3269	2449	2169	2037
ENSMUSG00000001175.14	3876	3264	6898	7232	5433	4978
ENSMUSG00000001211.15	155	129	258	208	173	154
ENSMUSG00000001225.12	0	0	0	0	1	0
ENSMUSG00000001227.12	8	6	3	16	7	8
ENSMUSG00000001228.14	8303	7009	14222	12005	10269	7854
ENSMUSG00000001229.9	134	96	193	225	175	174
ENSMUSG00000001240.13	4	13	17	87	62	26
ENSMUSG00000001247.16	332	287	534	517	398	349
ENSMUSG00000001248.15	8	1	7	3	1	3
ENSMUSG00000001249.14	0	0	0	0	0	0
ENSMUSG00000001260.10	0	0	1	0	0	1
ENSMUSG00000001270.9	1013	769	1503	2568	2305	1629
ENSMUSG00000001280.13	794	644	1481	1193	983	787
ENSMUSG00000001281.10	0	0	2	1	0	0
ENSMUSG00000001285.12	57	32	76	60	82	62
ENSMUSG00000001288.15	10	12	32	25	14	18
ENSMUSG00000001289.12	483	392	787	802	627	463
ENSMUSG00000001300.16	1055	916	1800	817	745	601
ENSMUSG00000001305.5	167	132	303	192	171	132
ENSMUSG00000001313.12	4	0	0	7	6	3
ENSMUSG00000001323.17	42	31	35	42	41	39
ENSMUSG00000001333.9	0	0	3	1	1	0
ENSMUSG00000001334.9	6	2	2	7	10	14
ENSMUSG00000001348.15	33	27	35	58	55	31
ENSMUSG00000001349.5	226	193	302	104	84	81
ENSMUSG00000001366.14	176	124	218	215	173	147
ENSMUSG00000001376.17	1086	860	1753	1225	935	957
ENSMUSG00000001380.6	129	112	211	252	213	160
ENSMUSG00000001383.8	656	700	1617	1037	819	729
ENSMUSG00000001403.13	426	351	596	728	647	599
ENSMUSG00000001415.10	142	90	226	218	196	131
ENSMUSG00000001416.13	1330	1148	2076	1760	1489	1106
ENSMUSG00000001418.13	18	8	20	23	35	14
ENSMUSG00000001419.17	224	231	428	124	121	108
ENSMUSG00000001420.13	7	5	11	9	9	4
ENSMUSG00000001424.14	455	463	832	522	428	314
ENSMUSG00000001435.15	26	10	17	15	24	25
ENSMUSG00000001436.15	66	49	77	133	120	125
ENSMUSG00000001440.5	2841	2415	4978	4956	3920	3230
ENSMUSG00000001441.13	84	73	152	186	128	103
ENSMUSG00000001444.2	0	0	0	0	0	0
ENSMUSG00000001445.10	303	231	318	417	388	331
ENSMUSG00000001467.5	43	37	100	54	49	33
ENSMUSG00000001472.17	1347	1051	1870	1364	1201	1126
ENSMUSG00000001473.6	2544	1895	3347	3586	2913	2794
ENSMUSG00000001482.15	93	73	135	80	52	61
ENSMUSG00000001493.9	0	4	7	5	5	1
ENSMUSG00000001494.6	112	79	98	168	140	126
ENSMUSG00000001496.15	0	0	0	0	0	0
ENSMUSG00000001497.18	7	1	0	22	15	13
ENSMUSG00000001504.10	1	0	0	3	1	0
ENSMUSG00000001506.10	7	0	4	3	3	0
ENSMUSG00000001507.16	6	2	3	4	4	5
ENSMUSG00000001508.15	3	2	8	2	3	0
ENSMUSG00000001510.8	0	0	0	0	0	0
ENSMUSG00000001517.14	1463	1119	2243	1846	1705	1378
ENSMUSG00000001518.12	41	23	65	57	63	48
ENSMUSG00000001520.12	2	3	0	2	0	1
ENSMUSG00000001521.12	920	742	1356	761	628	591
ENSMUSG00000001524.14	39	32	46	61	57	32
ENSMUSG00000001525.10	1279	945	1720	890	857	821
ENSMUSG00000001542.7	254	182	380	260	231	198
ENSMUSG00000001552.14	234	123	239	285	282	229
ENSMUSG00000001555.10	19	6	8	19	12	7
ENSMUSG00000001558.5	0	0	0	0	0	1
ENSMUSG00000001566.9	0	0	0	0	0	0
ENSMUSG00000001569.10	238	205	448	477	420	304
ENSMUSG00000001576.14	243	135	224	383	331	252
ENSMUSG00000001583.13	0	0	1	1	1	1
ENSMUSG00000001588.12	2	5	4	1	1	4
ENSMUSG00000001604.14	712	562	1155	935	790	673
ENSMUSG00000001622.15	0	0	0	0	0	1
ENSMUSG00000001627.12	644	469	946	1161	915	814
ENSMUSG00000001630.13	483	310	632	815	717	544
ENSMUSG00000001632.16	185	144	332	259	240	179
ENSMUSG00000001642.18	1439	1136	2038	2892	2513	2062
ENSMUSG00000001655.6	0	2	1	5	7	5
ENSMUSG00000001656.3	0	0	0	0	0	0
ENSMUSG00000001657.7	4	1	0	3	4	0
ENSMUSG00000001661.5	1	0	1	4	1	0
ENSMUSG00000001663.10	1	0	1	3	2	1
ENSMUSG00000001665.11	2	3	7	2	6	3
ENSMUSG00000001666.8	57	20	39	46	24	49
ENSMUSG00000001670.13	0	1	2	3	0	0
ENSMUSG00000001672.14	7	6	4	5	0	2
ENSMUSG00000001674.11	775	606	1138	1001	791	696
ENSMUSG00000001687.15	1159	1043	1982	1133	1083	938
ENSMUSG00000001700.9	3	1	3	0	4	2
ENSMUSG00000001707.8	363	277	534	363	322	279
ENSMUSG00000001729.14	641	536	1028	945	849	652
ENSMUSG00000001739.14	121	57	92	15	17	14
ENSMUSG00000001741.12	1	0	0	1	0	0
ENSMUSG00000001750.15	2	2	4	3	3	0
ENSMUSG00000001751.9	31	14	19	78	51	31
ENSMUSG00000001755.12	154	117	242	307	276	203
ENSMUSG00000001761.7	20	5	15	9	10	13
ENSMUSG00000001763.14	521	349	683	389	346	331
ENSMUSG00000001767.5	6893	6206	12766	9735	7906	6696
ENSMUSG00000001768.16	131	86	157	116	112	83
ENSMUSG00000001773.14	2	0	3	0	1	0
ENSMUSG00000001774.8	420	313	670	350	315	273
ENSMUSG00000001783.3	603	514	1107	834	725	556
ENSMUSG00000001785.13	72	47	69	129	109	95
ENSMUSG00000001786.14	276	221	446	277	252	241
ENSMUSG00000001794.13	188	119	275	181	163	167
ENSMUSG00000001802.16	0	1	3	1	5	0
ENSMUSG00000001804.9	1	0	0	0	0	0
ENSMUSG00000001815.15	3	0	1	9	1	2
ENSMUSG00000001819.4	8	16	24	20	7	3
ENSMUSG00000001823.5	6	2	2	0	1	0
ENSMUSG00000001827.12	1	0	0	8	2	2
ENSMUSG00000001829.17	611	543	1029	718	568	451
ENSMUSG00000001833.17	1300	1074	2308	1512	1350	1196
ENSMUSG00000001844.10	29	26	46	45	29	33
ENSMUSG00000001847.14	1406	1018	1815	1445	1246	1110
ENSMUSG00000001855.15	6188	4574	7815	7722	6854	6146
ENSMUSG00000001864.13	6	6	11	5	9	7
ENSMUSG00000001865.2	0	0	0	0	0	0
ENSMUSG00000001870.15	9	4	4	13	11	8
ENSMUSG00000001891.16	101	88	147	69	73	61
ENSMUSG00000001901.15	1	1	0	1	2	4
ENSMUSG00000001909.16	187	136	269	281	269	186
ENSMUSG00000001910.4	933	832	1779	1329	1172	1053
ENSMUSG00000001911.16	116	51	148	38	31	34
ENSMUSG00000001918.17	4	1	4	8	7	2
ENSMUSG00000001930.17	7	4	13	6	1	5
ENSMUSG00000001942.8	194	151	288	263	234	178
ENSMUSG00000001943.8	0	0	0	0	0	0
ENSMUSG00000001946.14	0	0	1	0	0	0
ENSMUSG00000001948.10	135	95	215	133	95	80
ENSMUSG00000001983.7	25	21	43	33	32	36
ENSMUSG00000001985.9	5	0	6	9	3	6
ENSMUSG00000001988.9	0	0	1	2	0	0
ENSMUSG00000001995.9	1161	883	1779	943	845	782
ENSMUSG00000001998.15	205	186	350	373	313	242
ENSMUSG00000001999.15	187	85	177	110	124	84
ENSMUSG00000002017.9	519	400	861	746	701	449
ENSMUSG00000002020.15	79	73	112	76	58	62
ENSMUSG00000002028.13	52	187	389	83	67	59
ENSMUSG00000002031.12	693	609	1157	828	770	768
ENSMUSG00000002032.17	2	0	1	0	2	1
ENSMUSG00000002033.14	0	0	0	0	0	0
ENSMUSG00000002043.17	22	13	25	32	17	16
ENSMUSG00000002052.6	3217	3001	6853	4231	3327	2587
ENSMUSG00000002055.9	617	518	1055	1125	957	824
ENSMUSG00000002057.4	3	1	1	0	3	2
ENSMUSG00000002058.13	16	10	30	10	13	4
ENSMUSG00000002059.18	1	0	1	4	5	3
ENSMUSG00000002064.10	248	220	344	383	339	278
ENSMUSG00000002068.16	84	51	112	107	91	77
ENSMUSG00000002076.11	439	345	715	548	458	405
ENSMUSG00000002083.13	0	0	0	2	0	0
ENSMUSG00000002100.15	5	4	11	3	4	5
ENSMUSG00000002102.15	723	624	1232	1068	889	710
ENSMUSG00000002103.15	22	22	34	43	28	31
ENSMUSG00000002104.11	16	22	31	13	13	15
ENSMUSG00000002105.15	11	12	11	8	4	10
ENSMUSG00000002107.18	1099	952	1686	1328	1049	1014
ENSMUSG00000002108.10	8	6	7	10	3	6
ENSMUSG00000002109.14	300	207	385	322	260	238
ENSMUSG00000002111.8	2	0	2	1	0	0
ENSMUSG00000002129.11	2656	2251	4763	2866	2458	2029
ENSMUSG00000002147.18	366	267	466	627	554	469
ENSMUSG00000002190.13	24	17	42	166	137	103
ENSMUSG00000002204.9	1	1	1	6	6	9
ENSMUSG00000002205.16	32	25	35	77	98	55
ENSMUSG00000002210.11	96	73	135	103	66	55
ENSMUSG00000002221.11	456	408	735	511	462	387
ENSMUSG00000002222.14	2220	1595	3135	3335	2815	2470
ENSMUSG00000002227.15	124	66	94	133	117	79
ENSMUSG00000002228.7	1	2	3	9	4	1
ENSMUSG00000002233.13	4	0	6	6	4	1
ENSMUSG00000002240.12	0	1	0	1	0	0
ENSMUSG00000002249.21	57	38	85	65	50	59
ENSMUSG00000002250.16	285	223	412	352	292	281
ENSMUSG00000002257.8	174	185	440	265	197	191
ENSMUSG00000002265.16	327	400	900	906	578	481
ENSMUSG00000002266.17	40	24	46	58	71	60
ENSMUSG00000002274.12	0	0	0	0	1	2
ENSMUSG00000002279.18	26	13	48	26	22	19
ENSMUSG00000002280.10	29	16	24	28	39	42
ENSMUSG00000002289.15	3	0	2	2	0	1
ENSMUSG00000002297.16	3129	2272	5621	3075	4560	2893
ENSMUSG00000002307.15	516	393	745	1173	1021	720
ENSMUSG00000002308.15	131	90	159	135	142	123
ENSMUSG00000002319.16	50	48	85	32	33	30
ENSMUSG00000002320.15	42	24	50	42	54	30
ENSMUSG00000002324.8	1	0	0	1	1	1
ENSMUSG00000002325.15	3	1	3	2	4	2
ENSMUSG00000002326.6	8	6	10	15	14	3
ENSMUSG00000002329.7	17	9	24	52	43	31
ENSMUSG00000002332.16	259	216	444	309	285	210
ENSMUSG00000002341.8	1	0	1	2	4	0
ENSMUSG00000002342.17	15	10	17	25	25	22
ENSMUSG00000002343.11	10	1	11	7	9	4
ENSMUSG00000002345.18	62	57	68	58	42	39
ENSMUSG00000002346.16	17	5	6	10	19	6
ENSMUSG00000002365.10	3601	3301	6500	4758	3778	3715
ENSMUSG00000002372.9	1139	966	1892	1866	1545	1246
ENSMUSG00000002379.7	283	174	258	340	254	198
ENSMUSG00000002384.2	2	0	2	5	4	2
ENSMUSG00000002393.14	8	5	7	18	16	13
ENSMUSG00000002395.14	305	236	422	517	439	416
ENSMUSG00000002396.8	2	5	6	7	11	11
ENSMUSG00000002409.18	104	94	134	149	137	113
ENSMUSG00000002413.15	167	165	308	249	209	195
ENSMUSG00000002416.13	50	41	75	46	44	56
ENSMUSG00000002428.12	324	269	570	325	259	282
ENSMUSG00000002455.14	1910	1805	3595	3425	2903	2235
ENSMUSG00000002458.13	107	69	136	16	19	17
ENSMUSG00000002459.17	0	0	0	0	1	0
ENSMUSG00000002475.15	142	129	153	173	134	121
ENSMUSG00000002477.4	770	715	1544	925	687	670
ENSMUSG00000002486.15	140	112	240	170	99	101
ENSMUSG00000002489.16	10733	8750	16631	13660	11661	10146
ENSMUSG00000002496.10	195	178	301	200	187	140
ENSMUSG00000002500.15	0	0	0	0	0	0
ENSMUSG00000002504.14	31	11	34	26	17	16
ENSMUSG00000002524.17	1021	908	1815	1360	1139	963
ENSMUSG00000002546.16	1880	1834	4084	2916	2432	1777
ENSMUSG00000002550.16	15	8	10	9	5	13
ENSMUSG00000002565.16	355	337	775	183	103	115
ENSMUSG00000002578.17	417	408	740	501	446	414
ENSMUSG00000002580.7	38	23	43	28	44	29
ENSMUSG00000002588.13	2	0	0	0	0	0
ENSMUSG00000002602.16	18	4	10	11	6	19
ENSMUSG00000002603.15	5	1	0	1	1	2
ENSMUSG00000002608.8	301	275	560	549	432	403
ENSMUSG00000002617.14	84	76	169	179	159	134
ENSMUSG00000002625.9	202	160	428	177	175	176
ENSMUSG00000002633.4	7	3	4	7	22	14
ENSMUSG00000002635.11	659	503	957	779	657	655
ENSMUSG00000002658.9	833	764	1684	1467	1094	1016
ENSMUSG00000002660.8	49	23	54	84	65	39
ENSMUSG00000002661.14	108	80	118	129	95	82
ENSMUSG00000002664.2	0	0	0	0	0	0
ENSMUSG00000002668.8	1	0	6	3	3	13
ENSMUSG00000002679.14	616	379	799	611	533	508
ENSMUSG00000002688.8	792	661	1439	935	750	649
ENSMUSG00000002699.13	70	64	101	42	31	33
ENSMUSG00000002718.14	496	371	772	527	465	389
ENSMUSG00000002728.14	276	232	357	382	300	263
ENSMUSG00000002731.6	17	10	12	16	7	8
ENSMUSG00000002732.14	4	1	4	6	0	2
ENSMUSG00000002733.8	894	749	1496	1081	913	841
ENSMUSG00000002741.9	102	80	166	202	189	101
ENSMUSG00000002748.7	3771	3422	7684	4780	4231	3577
ENSMUSG00000002763.16	45	15	65	96	92	50
ENSMUSG00000002767.13	179	160	246	248	248	192
ENSMUSG00000002768.8	1584	1124	2401	2092	1675	1498
ENSMUSG00000002769.9	12	9	16	46	35	53
ENSMUSG00000002771.12	4	4	8	15	11	13
ENSMUSG00000002778.14	180	88	162	172	158	172
ENSMUSG00000002781.19	147	61	103	134	114	111
ENSMUSG00000002791.16	1	0	0	0	1	0
ENSMUSG00000002797.9	759	802	1828	1594	1256	881
ENSMUSG00000002799.6	1607	1328	2607	2597	2344	1823
ENSMUSG00000002803.14	2	0	1	1	0	3
ENSMUSG00000002804.4	88	65	82	87	64	68
ENSMUSG00000002808.7	5	0	5	3	0	1
ENSMUSG00000002812.4	932	841	1705	1212	1025	790
ENSMUSG00000002814.15	904	697	1256	1331	1065	883
ENSMUSG00000002820.6	1	1	0	5	0	2
ENSMUSG00000002825.8	44	36	78	22	11	7
ENSMUSG00000002831.13	1	0	0	0	0	0
ENSMUSG00000002833.11	407	367	659	418	466	360
ENSMUSG00000002835.9	3514	3640	7492	6056	5007	3654
ENSMUSG00000002844.9	266	213	451	370	372	256
ENSMUSG00000002845.14	360	238	414	502	433	332
ENSMUSG00000002846.9	114	101	148	123	121	123
ENSMUSG00000002847.7	50	18	47	112	100	66
ENSMUSG00000002870.8	1142	859	1695	1755	1323	1182
ENSMUSG00000002871.14	886	548	915	1051	906	796
ENSMUSG00000002881.14	525	468	978	592	515	461
ENSMUSG00000002885.14	3	0	2	0	0	0
ENSMUSG00000002897.5	269	203	431	500	439	322
ENSMUSG00000002900.16	16085	13111	26880	29472	25196	20348
ENSMUSG00000002908.17	8	5	10	16	9	25
ENSMUSG00000002910.11	714	586	1256	984	803	739
ENSMUSG00000002930.6	0	0	0	0	0	0
ENSMUSG00000002944.15	375	306	709	621	466	545
ENSMUSG00000002948.19	222	107	215	145	90	200
ENSMUSG00000002949.15	499	400	842	561	486	435
ENSMUSG00000002957.11	139	90	187	163	140	100
ENSMUSG00000002963.17	35	34	54	50	45	26
ENSMUSG00000002968.9	658	481	738	700	677	584
ENSMUSG00000002980.14	2	0	2	2	0	0
ENSMUSG00000002981.10	1072	842	1651	1250	1132	954
ENSMUSG00000002983.17	47	46	82	65	50	42
ENSMUSG00000002984.17	194	140	285	276	260	230
ENSMUSG00000002985.16	60	45	97	160	130	118
ENSMUSG00000002992.17	0	0	0	0	0	1
ENSMUSG00000002996.17	507	362	686	446	404	330
ENSMUSG00000002997.15	380	309	452	669	457	571
ENSMUSG00000003031.14	256	224	388	465	338	262
ENSMUSG00000003032.8	149	95	198	274	195	169
ENSMUSG00000003033.15	875	621	1252	629	572	505
ENSMUSG00000003037.16	375	368	728	365	315	250
ENSMUSG00000003038.15	343	302	628	378	270	249
ENSMUSG00000003039.9	419	306	607	540	442	342
ENSMUSG00000003051.13	300	265	435	287	272	300
ENSMUSG00000003053.17	26	26	57	0	0	0
ENSMUSG00000003062.13	319	214	372	332	309	272
ENSMUSG00000003068.16	545	474	969	787	679	585
ENSMUSG00000003070.6	73	49	137	93	103	79
ENSMUSG00000003072.15	70	42	86	95	78	60
ENSMUSG00000003099.11	111	80	193	191	178	126
ENSMUSG00000003119.14	3078	2159	4402	3132	2497	2400
ENSMUSG00000003123.15	88	74	125	117	92	89
ENSMUSG00000003131.7	216	196	443	430	354	267
ENSMUSG00000003134.10	2613	2114	4041	3738	3198	2549
